source	target	value
Computational & Theoretical Chemistry	Process Systems: Components and Integration	3
Computational & Theoretical Chemistry	Sensors and Instrumentation	3
Computational & Theoretical Chemistry	Software Engineering	1
Computational & Theoretical Chemistry	Statistics and Applied Probability	3
Computational & Theoretical Chemistry	Surface Science	6
Computational & Theoretical Chemistry	Synthetic Biology	2
Computational & Theoretical Chemistry	Synthetic Coordination Chemistry	1
Computational & Theoretical Chemistry	Synthetic Organic Chemistry	2
Computational & Theoretical Chemistry	Synthetic Supramolecular Chemistry	2
Computational & Theoretical Chemistry	Water Engineering	1
Condensed Matter: Electronic Structure	Condensed Matter: Magnetism and Magnetic Materials	37
Condensed Matter: Electronic Structure	Electrochemical Sciences	1
Condensed Matter: Electronic Structure	Energy Storage	1
Condensed Matter: Electronic Structure	Fluid Dynamics and Aerodynamics	1
Condensed Matter: Electronic Structure	Fuel Cell Technology	1
Condensed Matter: Electronic Structure	Functional Ceramics and Inorganics	8
Condensed Matter: Electronic Structure	Graphene and Carbon Nanotechnology	7
Condensed Matter: Electronic Structure	Light Matter Interaction and Optical Phenomena	3
Condensed Matter: Electronic Structure	Materials Engineering - Composites	1
Condensed Matter: Electronic Structure	Materials Engineering - Metals & Alloys	1
Condensed Matter: Electronic Structure	Materials For Energy Applications	19
Condensed Matter: Electronic Structure	Mathematical Analysis	1
Condensed Matter: Electronic Structure	Mathematical Physics	2
Condensed Matter: Electronic Structure	Non CMOS Device Technology	4
Condensed Matter: Electronic Structure	Non-Linear Systems	1
Condensed Matter: Electronic Structure	Photonic Materials and Metamaterials	9
Condensed Matter: Electronic Structure	Plasma and Lasers	3
Condensed Matter: Electronic Structure	Polymer Materials	4
Condensed Matter: Electronic Structure	Programming Languages and Compilers	1
Condensed Matter: Electronic Structure	Quantum Devices, Components and Systems	7
Condensed Matter: Electronic Structure	Quantum Fluids and Solids	7
Condensed Matter: Electronic Structure	Quantum Optics and Information	11
Condensed Matter: Electronic Structure	Solar Technology	1
Condensed Matter: Electronic Structure	Spintronics	10
Condensed Matter: Electronic Structure	Superconductivity	22
Condensed Matter: Electronic Structure	Surface Science	3
Condensed Matter: Electronic Structure	Synthetic Coordination Chemistry	2
Condensed Matter: Electronic Structure	Synthetic Supramolecular Chemistry	1
Condensed Matter: Magnetism and Magnetic Materials	Electrochemical Sciences	1
Condensed Matter: Magnetism and Magnetic Materials	Fluid Dynamics and Aerodynamics	1
Condensed Matter: Magnetism and Magnetic Materials	Functional Ceramics and Inorganics	12
Condensed Matter: Magnetism and Magnetic Materials	Graphene and Carbon Nanotechnology	3
Condensed Matter: Magnetism and Magnetic Materials	Materials Engineering - Ceramics	1
Condensed Matter: Magnetism and Magnetic Materials	Materials Engineering - Composites	1
Condensed Matter: Magnetism and Magnetic Materials	Materials Engineering - Metals & Alloys	2
Condensed Matter: Magnetism and Magnetic Materials	Materials For Energy Applications	19
Condensed Matter: Magnetism and Magnetic Materials	Mathematical Analysis	1
Condensed Matter: Magnetism and Magnetic Materials	Medical Imaging (inc medical image and vision computing)	1
Condensed Matter: Magnetism and Magnetic Materials	Microsystems	1
Condensed Matter: Magnetism and Magnetic Materials	Non CMOS Device Technology	6
Condensed Matter: Magnetism and Magnetic Materials	Optical Devices and Subsystems	3
Condensed Matter: Magnetism and Magnetic Materials	Optoelectronic Devices and Circuits	3
Condensed Matter: Magnetism and Magnetic Materials	Photonic Materials and Metamaterials	3
Condensed Matter: Magnetism and Magnetic Materials	Plasmonics	2
Condensed Matter: Magnetism and Magnetic Materials	Polymer Materials	3
Condensed Matter: Magnetism and Magnetic Materials	Quantum Fluids and Solids	3
Condensed Matter: Magnetism and Magnetic Materials	Quantum Optics and Information	6
Condensed Matter: Magnetism and Magnetic Materials	Spintronics	18
Condensed Matter: Magnetism and Magnetic Materials	Superconductivity	19
Condensed Matter: Magnetism and Magnetic Materials	Surface Science	3
Condensed Matter: Magnetism and Magnetic Materials	Synthetic Coordination Chemistry	3
Continuum Mechanics	Conventional Generation & Combustion	1
Continuum Mechanics	Fluid Dynamics and Aerodynamics	7
Continuum Mechanics	Geometry & Topology	11
Continuum Mechanics	Logic and Combinatorics	8
Continuum Mechanics	Mathematical Analysis	12
Continuum Mechanics	Mathematical Aspects of Operational Research	4
Continuum Mechanics	Mathematical Physics	8
Continuum Mechanics	Medical Imaging (inc medical image and vision computing)	1
Continuum Mechanics	Microsystems	2
Continuum Mechanics	Non-Linear Systems	25
Continuum Mechanics	Number Theory	8
Continuum Mechanics	Numerical Analysis	17
Continuum Mechanics	Performance and Inspection of Mechanical Structures and Systems	1
Continuum Mechanics	Photonic Materials and Metamaterials	1
Continuum Mechanics	Process Systems: Components and Integration	1
Continuum Mechanics	Statistics and Applied Probability	11
Control Engineering	Conventional Generation & Combustion	2
Control Engineering	Electrical Motors and Drive /  Electromagnetics	3
Control Engineering	Energy Efficiency (End Use Energy Demand)	1
Control Engineering	Energy Networks	2
Control Engineering	Engineering Approaches to Manufacturing Operations	4
Control Engineering	Engineering Design	6
Control Engineering	Fluid Dynamics and Aerodynamics	6
Control Engineering	Human-Computer Interaction	4
Control Engineering	ICT Networks & Distributed Systems	6
Control Engineering	Image and Vision Computing	2
Control Engineering	Information Systems	4
Control Engineering	Manufacturing Technologies	7
Control Engineering	Materials Engineering - Composites	1
Control Engineering	Materials Engineering - Metals & Alloys	1
Control Engineering	Maths of Computing	2
Control Engineering	Microelectronics Design	3
Control Engineering	Microsystems	1
Control Engineering	Non CMOS Device Technology	2
Control Engineering	Non-Linear Systems	1
Control Engineering	Optical Devices and Subsystems	1
Control Engineering	Particle Technology	1
Control Engineering	Performance and Inspection of Mechanical Structures and Systems	5
Control Engineering	Pervasive and Ubiquitous Computing	3
Control Engineering	Process Systems: Components and Integration	2
Control Engineering	RF & MW Communications	1
Control Engineering	Robotics	17
Control Engineering	Sensors and Instrumentation	5
Control Engineering	Software Engineering	1
Control Engineering	Statistics and Applied Probability	2
Control Engineering	Synthetic Biology	4
Control Engineering	Theory of Computation	2
Control Engineering	Transportation Operations and Management	1
Control Engineering	Verification and Correctness	4
Control Engineering	Whole Energy Systems	1
Conventional Generation & Combustion	Electrical Motors and Drive /  Electromagnetics	1
Conventional Generation & Combustion	Energy Efficiency (End Use Energy Demand)	2
Conventional Generation & Combustion	Fluid Dynamics and Aerodynamics	23
Conventional Generation & Combustion	Manufacturing Technologies	3
Conventional Generation & Combustion	Materials Engineering - Metals & Alloys	3
Conventional Generation & Combustion	Microsystems	1
Conventional Generation & Combustion	Nuclear Fission	1
Conventional Generation & Combustion	Process Systems: Components and Integration	3
Conventional Generation & Combustion	Sensors and Instrumentation	2
Conventional Generation & Combustion	Transportation Operations and Management	1
Conventional Generation & Combustion	Whole Energy Systems	2
Databases	Graphics and Visualisation	1
Databases	ICT Networks & Distributed Systems	2
Databases	Information Systems	14
Databases	Maths of Computing	3
Databases	Natural Language Processing	1
Databases	Pervasive and Ubiquitous Computing	1
Databases	Programming Languages and Compilers	4
Databases	Software Engineering	3
Databases	Sustainable Land Management	1
Databases	Theory of Computation	1
Databases	Verification and Correctness	1
Digital Signal Processing	Graphics and Visualisation	2
Digital Signal Processing	Human-Computer Interaction	4
Digital Signal Processing	ICT Networks & Distributed Systems	11
Digital Signal Processing	Image and Vision Computing	6
Digital Signal Processing	Information Systems	1
Digital Signal Processing	Manufacturing Technologies	3
Digital Signal Processing	Medical Imaging (inc medical image and vision computing)	2
Digital Signal Processing	Microelectronics Design	3
Digital Signal Processing	Music and Acoustic Technology	7
Digital Signal Processing	Non-Linear Systems	1
Digital Signal Processing	Optical Communications	5
Digital Signal Processing	Optical Devices and Subsystems	3
Digital Signal Processing	Optoelectronic Devices and Circuits	1
Digital Signal Processing	Performance and Inspection of Mechanical Structures and Systems	1
Digital Signal Processing	RF & Microwave Devices	8
Digital Signal Processing	RF & MW Communications	25
Digital Signal Processing	Sensors and Instrumentation	4
Digital Signal Processing	Statistics and Applied Probability	2
Digital Signal Processing	Vision, Hearing and Other Senses	7
Displays	Materials For Energy Applications	2
Displays	Microelectronics Design	1
Displays	Non CMOS Device Technology	2
Displays	Optical Communications	1
Displays	Optical Devices and Subsystems	2
Displays	Optoelectronic Devices and Circuits	1
Displays	Photonic Materials and Metamaterials	3
Displays	Polymer Materials	1
Electrical Motors and Drive /  Electromagnetics	Energy Networks	1
Electrical Motors and Drive /  Electromagnetics	Energy Storage	4
Electrical Motors and Drive /  Electromagnetics	Fluid Dynamics and Aerodynamics	1
Electrical Motors and Drive /  Electromagnetics	Microelectronics Design	1
Electrical Motors and Drive /  Electromagnetics	Non CMOS Device Technology	2
Electrical Motors and Drive /  Electromagnetics	Non-Linear Systems	1
Electrical Motors and Drive /  Electromagnetics	Process Systems: Components and Integration	1
Electrochemical Sciences	Energy Efficiency (End Use Energy Demand)	1
Electrochemical Sciences	Energy Storage	1
Electrochemical Sciences	Fuel Cell Technology	2
Electrochemical Sciences	Functional Ceramics and Inorganics	1
Electrochemical Sciences	Graphene and Carbon Nanotechnology	1
Electrochemical Sciences	Hydrogen and Alternative Energy Vectors	3
Electrochemical Sciences	Materials For Energy Applications	2
Electrochemical Sciences	Polymer Materials	1
Electrochemical Sciences	Process Systems: Components and Integration	2
Electrochemical Sciences	Sensors and Instrumentation	1
Electrochemical Sciences	Solar Technology	1
Electrochemical Sciences	Surface Science	5
Electrochemical Sciences	Synthetic Coordination Chemistry	4
Electrochemical Sciences	Synthetic Organic Chemistry	3
Electrochemical Sciences	Synthetic Supramolecular Chemistry	3
Energy Efficiency (End Use Energy Demand)	Energy Networks	2
Energy Efficiency (End Use Energy Demand)	Energy Storage	6
Energy Efficiency (End Use Energy Demand)	Engineering Approaches to Manufacturing Operations	1
Energy Efficiency (End Use Energy Demand)	Engineering Design	1
Energy Efficiency (End Use Energy Demand)	Fluid Dynamics and Aerodynamics	2
Energy Efficiency (End Use Energy Demand)	Fuel Cell Technology	2
Energy Efficiency (End Use Energy Demand)	Ground Engineering	1
Energy Efficiency (End Use Energy Demand)	Human-Computer Interaction	2
Energy Efficiency (End Use Energy Demand)	Hydrogen and Alternative Energy Vectors	1
Energy Efficiency (End Use Energy Demand)	ICT Networks & Distributed Systems	1
Energy Efficiency (End Use Energy Demand)	Manufacturing Technologies	9
Energy Efficiency (End Use Energy Demand)	Materials Engineering - Metals & Alloys	2
Energy Efficiency (End Use Energy Demand)	Materials For Energy Applications	1
Energy Efficiency (End Use Energy Demand)	Non CMOS Device Technology	1
Energy Efficiency (End Use Energy Demand)	Nuclear Fission	1
Energy Efficiency (End Use Energy Demand)	Polymer Materials	1
Energy Efficiency (End Use Energy Demand)	Process Systems: Components and Integration	2
Energy Efficiency (End Use Energy Demand)	Resource Efficiency	3
Energy Efficiency (End Use Energy Demand)	RF & MW Communications	1
Energy Efficiency (End Use Energy Demand)	Sensors and Instrumentation	1
Energy Efficiency (End Use Energy Demand)	Solar Technology	3
Energy Efficiency (End Use Energy Demand)	Structural Engineering	3
Energy Efficiency (End Use Energy Demand)	Sustainable Land Management	4
Energy Efficiency (End Use Energy Demand)	Transportation Operations and Management	7
Energy Efficiency (End Use Energy Demand)	Water Engineering	3
Energy Efficiency (End Use Energy Demand)	Whole Energy Systems	4
Energy Efficiency (End Use Energy Demand)	Wind Power	1
Energy Networks	Energy Storage	11
Energy Networks	ICT Networks & Distributed Systems	2
Energy Networks	Mathematical Aspects of Operational Research	1
Energy Networks	Non CMOS Device Technology	2
Energy Networks	Process Systems: Components and Integration	1
Energy Networks	RF & Microwave Devices	1
Energy Networks	Sensors and Instrumentation	1
Energy Networks	Solar Technology	3
Energy Networks	Statistics and Applied Probability	2
Energy Networks	Sustainable Land Management	2
Energy Networks	Transportation Operations and Management	2
Energy Networks	Wind Power	1
Energy Storage	Engineering Design	1
Energy Storage	Fuel Cell Technology	3
Energy Storage	Functional Ceramics and Inorganics	1
Energy Storage	Graphene and Carbon Nanotechnology	1
Energy Storage	Manufacturing Technologies	2
Energy Storage	Materials For Energy Applications	2
Energy Storage	Optoelectronic Devices and Circuits	2
Energy Storage	Quantum Fluids and Solids	1
Energy Storage	Solar Technology	4
Energy Storage	Synthetic Supramolecular Chemistry	1
Energy Storage	Whole Energy Systems	3
Engineering Approaches to Manufacturing Operations	Engineering Design	8
Engineering Approaches to Manufacturing Operations	Functional Ceramics and Inorganics	2
Engineering Approaches to Manufacturing Operations	Human-Computer Interaction	4
Engineering Approaches to Manufacturing Operations	ICT Networks & Distributed Systems	1
Engineering Approaches to Manufacturing Operations	Information Systems	3
Engineering Approaches to Manufacturing Operations	Manufacturing Technologies	16
Engineering Approaches to Manufacturing Operations	Materials Engineering - Composites	2
Engineering Approaches to Manufacturing Operations	Materials Engineering - Metals & Alloys	3
Engineering Approaches to Manufacturing Operations	Mathematical Aspects of Operational Research	1
Engineering Approaches to Manufacturing Operations	Non CMOS Device Technology	3
Engineering Approaches to Manufacturing Operations	Optical Devices and Subsystems	1
Engineering Approaches to Manufacturing Operations	Optoelectronic Devices and Circuits	1
Engineering Approaches to Manufacturing Operations	Particle Technology	1
Engineering Approaches to Manufacturing Operations	Performance and Inspection of Mechanical Structures and Systems	1
Engineering Approaches to Manufacturing Operations	Polymer Materials	1
Engineering Approaches to Manufacturing Operations	Process Systems: Components and Integration	6
Engineering Approaches to Manufacturing Operations	Robotics	3
Engineering Approaches to Manufacturing Operations	Software Engineering	1
Engineering Approaches to Manufacturing Operations	Statistics and Applied Probability	1
Engineering Approaches to Manufacturing Operations	Verification and Correctness	1
Engineering Design	Fluid Dynamics and Aerodynamics	6
Engineering Design	Functional Ceramics and Inorganics	1
Engineering Design	Graphics and Visualisation	2
Engineering Design	Ground Engineering	1
Engineering Design	Human Communication in ICT	3
Engineering Design	Human-Computer Interaction	8
Engineering Design	ICT Networks & Distributed Systems	2
Engineering Design	Information Systems	7
Engineering Design	Manufacturing Technologies	12
Engineering Design	Materials Engineering - Ceramics	1
Engineering Design	Materials Engineering - Composites	3
Engineering Design	Mobile Computing	2
Engineering Design	Numerical Analysis	1
Engineering Design	Performance and Inspection of Mechanical Structures and Systems	1
Engineering Design	Pervasive and Ubiquitous Computing	1
Engineering Design	Plasma and Lasers	1
Engineering Design	Process Systems: Components and Integration	2
Engineering Design	Resource Efficiency	1
Engineering Design	Robotics	1
Engineering Design	Sensors and Instrumentation	2
Engineering Design	Software Engineering	2
Engineering Design	Statistics and Applied Probability	1
Engineering Design	Sustainable Land Management	1
Engineering Design	Synthetic Biology	1
Engineering Design	Transportation Operations and Management	2
Fluid Dynamics and Aerodynamics	Fuel Cell Technology	1
Fluid Dynamics and Aerodynamics	Manufacturing Technologies	2
Fluid Dynamics and Aerodynamics	Marine Wave and Tidal	7
Fluid Dynamics and Aerodynamics	Materials Engineering - Ceramics	2
Fluid Dynamics and Aerodynamics	Materials Engineering - Composites	1
Fluid Dynamics and Aerodynamics	Materials For Energy Applications	1
Fluid Dynamics and Aerodynamics	Mathematical Analysis	5
Fluid Dynamics and Aerodynamics	Microsystems	9
Fluid Dynamics and Aerodynamics	Non-Linear Systems	1
Fluid Dynamics and Aerodynamics	Numerical Analysis	1
Fluid Dynamics and Aerodynamics	Optical Devices and Subsystems	3
Fluid Dynamics and Aerodynamics	Particle Technology	1
Fluid Dynamics and Aerodynamics	Performance and Inspection of Mechanical Structures and Systems	7
Fluid Dynamics and Aerodynamics	Plasma and Lasers	1
Fluid Dynamics and Aerodynamics	Polymer Materials	3
Fluid Dynamics and Aerodynamics	Process Systems: Components and Integration	5
Fluid Dynamics and Aerodynamics	Programming Languages and Compilers	1
Fluid Dynamics and Aerodynamics	Robotics	1
Fluid Dynamics and Aerodynamics	Sensors and Instrumentation	2
Fluid Dynamics and Aerodynamics	Software Engineering	3
Fluid Dynamics and Aerodynamics	Sustainable Land Management	1
Fluid Dynamics and Aerodynamics	Water Engineering	4
Fluid Dynamics and Aerodynamics	Wind Power	2
Fuel Cell Technology	Functional Ceramics and Inorganics	1
Fuel Cell Technology	Graphene and Carbon Nanotechnology	1
Fuel Cell Technology	Hydrogen and Alternative Energy Vectors	9
Fuel Cell Technology	Manufacturing Technologies	1
Fuel Cell Technology	Materials For Energy Applications	3
Fuel Cell Technology	Nuclear Fission	1
Fuel Cell Technology	Performance and Inspection of Mechanical Structures and Systems	1
Fuel Cell Technology	Polymer Materials	1
Fuel Cell Technology	Process Systems: Components and Integration	1
Fuel Cell Technology	Quantum Fluids and Solids	1
Fuel Cell Technology	Resource Efficiency	1
Fuel Cell Technology	Sensors and Instrumentation	1
Fuel Cell Technology	Solar Technology	3
Fuel Cell Technology	Synthetic Biology	3
Fuel Cell Technology	Whole Energy Systems	1
Fuel Cell Technology	Wind Power	1
Functional Ceramics and Inorganics	Graphene and Carbon Nanotechnology	8
Functional Ceramics and Inorganics	Manufacturing Technologies	4
Functional Ceramics and Inorganics	Materials Engineering - Ceramics	4
Functional Ceramics and Inorganics	Materials Engineering - Composites	4
Functional Ceramics and Inorganics	Materials Engineering - Metals & Alloys	6
Functional Ceramics and Inorganics	Materials For Energy Applications	25
Functional Ceramics and Inorganics	Medical Imaging (inc medical image and vision computing)	1
Functional Ceramics and Inorganics	Microelectronics Design	5
Functional Ceramics and Inorganics	Microelectronics Device Technology	1
Functional Ceramics and Inorganics	Microsystems	2
Functional Ceramics and Inorganics	Non CMOS Device Technology	3
Functional Ceramics and Inorganics	Optoelectronic Devices and Circuits	3
Functional Ceramics and Inorganics	Performance and Inspection of Mechanical Structures and Systems	1
Functional Ceramics and Inorganics	Photonic Materials and Metamaterials	9
Functional Ceramics and Inorganics	Polymer Materials	18
Functional Ceramics and Inorganics	Process Systems: Components and Integration	1
Functional Ceramics and Inorganics	Quantum Fluids and Solids	2
Functional Ceramics and Inorganics	RF & Microwave Devices	8
Functional Ceramics and Inorganics	Solar Technology	1
Functional Ceramics and Inorganics	Spintronics	4
Functional Ceramics and Inorganics	Structural Engineering	1
Functional Ceramics and Inorganics	Superconductivity	6
Functional Ceramics and Inorganics	Surface Science	5
Functional Ceramics and Inorganics	Synthetic Coordination Chemistry	1
Functional Ceramics and Inorganics	Synthetic Organic Chemistry	1
Functional Ceramics and Inorganics	Synthetic Supramolecular Chemistry	1
Functional Ceramics and Inorganics	Water Engineering	1
Geometry & Topology	Information Systems	1
Geometry & Topology	Logic and Combinatorics	13
Geometry & Topology	Manufacturing Technologies	2
Geometry & Topology	Mathematical Analysis	20
Geometry & Topology	Mathematical Aspects of Operational Research	4
Geometry & Topology	Mathematical Physics	24
Geometry & Topology	Non-Linear Systems	8
Geometry & Topology	Number Theory	20
Geometry & Topology	Numerical Analysis	11
Geometry & Topology	Statistics and Applied Probability	11
Geometry & Topology	Theory of Computation	1
Graphene and Carbon Nanotechnology	Manufacturing Technologies	8
Graphene and Carbon Nanotechnology	Materials Engineering - Ceramics	1
Graphene and Carbon Nanotechnology	Materials Engineering - Composites	7
Graphene and Carbon Nanotechnology	Materials Engineering - Metals & Alloys	1
Graphene and Carbon Nanotechnology	Materials For Energy Applications	12
Graphene and Carbon Nanotechnology	Mathematical Physics	1
Graphene and Carbon Nanotechnology	Microsystems	2
Graphene and Carbon Nanotechnology	Non CMOS Device Technology	6
Graphene and Carbon Nanotechnology	Optical Devices and Subsystems	1
Graphene and Carbon Nanotechnology	Optoelectronic Devices and Circuits	4
Graphene and Carbon Nanotechnology	Performance and Inspection of Mechanical Structures and Systems	1
Graphene and Carbon Nanotechnology	Photonic Materials and Metamaterials	10
Graphene and Carbon Nanotechnology	Plasmonics	1
Graphene and Carbon Nanotechnology	Polymer Materials	11
Graphene and Carbon Nanotechnology	Process Systems: Components and Integration	1
Graphene and Carbon Nanotechnology	Programming Languages and Compilers	1
Graphene and Carbon Nanotechnology	RF & Microwave Devices	1
Graphene and Carbon Nanotechnology	Sensors and Instrumentation	1
Graphene and Carbon Nanotechnology	Spintronics	2
Graphene and Carbon Nanotechnology	Superconductivity	3
Graphene and Carbon Nanotechnology	Surface Science	1
Graphene and Carbon Nanotechnology	Synthetic Supramolecular Chemistry	2
Graphene and Carbon Nanotechnology	Water Engineering	1
Graphics and Visualisation	Human Communication in ICT	5
Graphics and Visualisation	Human-Computer Interaction	17
Graphics and Visualisation	ICT Networks & Distributed Systems	4
Graphics and Visualisation	Image and Vision Computing	13
Graphics and Visualisation	Information Systems	10
Graphics and Visualisation	Manufacturing Technologies	1
Graphics and Visualisation	Medical Imaging (inc medical image and vision computing)	2
Graphics and Visualisation	Mobile Computing	1
Graphics and Visualisation	Music and Acoustic Technology	1
Graphics and Visualisation	Natural Language Processing	1
Graphics and Visualisation	Performance and Inspection of Mechanical Structures and Systems	1
Graphics and Visualisation	Software Engineering	3
Graphics and Visualisation	Speech Technology	1
Graphics and Visualisation	Statistics and Applied Probability	1
Graphics and Visualisation	Transportation Operations and Management	1
Graphics and Visualisation	Vision, Hearing and Other Senses	2
Ground Engineering	Materials Engineering - Composites	1
Ground Engineering	Materials For Energy Applications	1
Ground Engineering	Non-Linear Systems	1
Ground Engineering	Nuclear Fission	1
Ground Engineering	Numerical Analysis	1
Ground Engineering	Resource Efficiency	2
Ground Engineering	Sensors and Instrumentation	2
Ground Engineering	Spintronics	1
Ground Engineering	Statistics and Applied Probability	1
Ground Engineering	Structural Engineering	10
Ground Engineering	Sustainable Land Management	1
Ground Engineering	Transportation Operations and Management	4
Ground Engineering	Whole Energy Systems	1
Human Communication in ICT	Human-Computer Interaction	16
Human Communication in ICT	ICT Networks & Distributed Systems	2
Human Communication in ICT	Information Systems	11
Human Communication in ICT	Natural Language Processing	2
Human Communication in ICT	Pervasive and Ubiquitous Computing	1
Human Communication in ICT	Robotics	2
Human Communication in ICT	Speech Technology	3
Human Communication in ICT	Statistics and Applied Probability	1
Human Communication in ICT	Transportation Operations and Management	1
Human Communication in ICT	Vision, Hearing and Other Senses	1
Human-Computer Interaction	ICT Networks & Distributed Systems	26
Human-Computer Interaction	Image and Vision Computing	10
Human-Computer Interaction	Information Systems	67
Human-Computer Interaction	Materials Engineering - Ceramics	1
Human-Computer Interaction	Mathematical Aspects of Operational Research	1
Human-Computer Interaction	Maths of Computing	1
Human-Computer Interaction	Microsystems	1
Human-Computer Interaction	Mobile Computing	4
Human-Computer Interaction	Music and Acoustic Technology	6
Human-Computer Interaction	Natural Language Processing	9
Human-Computer Interaction	Performance and Inspection of Mechanical Structures and Systems	1
Human-Computer Interaction	Pervasive and Ubiquitous Computing	30
Human-Computer Interaction	Robotics	9
Human-Computer Interaction	Sensors and Instrumentation	3
Human-Computer Interaction	Software Engineering	8
Human-Computer Interaction	Statistics and Applied Probability	1
Human-Computer Interaction	Theory of Computation	2
Human-Computer Interaction	Transportation Operations and Management	3
Human-Computer Interaction	Verification and Correctness	2
Human-Computer Interaction	Vision, Hearing and Other Senses	2
Hydrogen and Alternative Energy Vectors	Manufacturing Technologies	1
Hydrogen and Alternative Energy Vectors	Materials For Energy Applications	3
Hydrogen and Alternative Energy Vectors	Nuclear Fission	1
Hydrogen and Alternative Energy Vectors	Process Systems: Components and Integration	2
Hydrogen and Alternative Energy Vectors	Solar Technology	3
Hydrogen and Alternative Energy Vectors	Whole Energy Systems	1
Hydrogen and Alternative Energy Vectors	Wind Power	1
ICT Networks & Distributed Systems	Image and Vision Computing	3
ICT Networks & Distributed Systems	Information Systems	33
ICT Networks & Distributed Systems	Mathematical Aspects of Operational Research	1
ICT Networks & Distributed Systems	Maths of Computing	10
ICT Networks & Distributed Systems	Microelectronics Design	3
ICT Networks & Distributed Systems	Mobile Computing	1
ICT Networks & Distributed Systems	Non-Linear Systems	2
ICT Networks & Distributed Systems	Optical Communications	11
ICT Networks & Distributed Systems	Optical Devices and Subsystems	2
ICT Networks & Distributed Systems	Optoelectronic Devices and Circuits	2
ICT Networks & Distributed Systems	Pervasive and Ubiquitous Computing	20
ICT Networks & Distributed Systems	Process Systems: Components and Integration	1
ICT Networks & Distributed Systems	Programming Languages and Compilers	8
ICT Networks & Distributed Systems	RF & Microwave Devices	3
ICT Networks & Distributed Systems	RF & MW Communications	18
ICT Networks & Distributed Systems	Robotics	1
ICT Networks & Distributed Systems	Sensors and Instrumentation	3
ICT Networks & Distributed Systems	Software Engineering	11
ICT Networks & Distributed Systems	Statistics and Applied Probability	7
ICT Networks & Distributed Systems	Structural Engineering	1
ICT Networks & Distributed Systems	Synthetic Biology	1
ICT Networks & Distributed Systems	Theory of Computation	19
ICT Networks & Distributed Systems	Transportation Operations and Management	3
ICT Networks & Distributed Systems	Verification and Correctness	19
Image and Vision Computing	Information Systems	3
Image and Vision Computing	Manufacturing Technologies	3
Image and Vision Computing	Maths of Computing	1
Image and Vision Computing	Medical Imaging (inc medical image and vision computing)	13
Image and Vision Computing	Microelectronics Design	3
Image and Vision Computing	Music and Acoustic Technology	2
Image and Vision Computing	Natural Language Processing	1
Image and Vision Computing	Optical Communications	1
Image and Vision Computing	Optical Devices and Subsystems	3
Image and Vision Computing	Performance and Inspection of Mechanical Structures and Systems	1
Image and Vision Computing	Pervasive and Ubiquitous Computing	2
Image and Vision Computing	Programming Languages and Compilers	3
Image and Vision Computing	RF & Microwave Devices	1
Image and Vision Computing	RF & MW Communications	2
Image and Vision Computing	Robotics	10
Image and Vision Computing	Sensors and Instrumentation	9
Image and Vision Computing	Verification and Correctness	1
Image and Vision Computing	Vision, Hearing and Other Senses	18
Information Systems	Manufacturing Technologies	1
Information Systems	Mathematical Aspects of Operational Research	1
Information Systems	Maths of Computing	5
Information Systems	Medical Imaging (inc medical image and vision computing)	1
Information Systems	Microelectronics Design	1
Information Systems	Microsystems	2
Information Systems	Mobile Computing	2
Information Systems	Music and Acoustic Technology	2
Information Systems	Natural Language Processing	9
Information Systems	Pervasive and Ubiquitous Computing	29
Information Systems	Programming Languages and Compilers	9
Information Systems	RF & MW Communications	2
Information Systems	Robotics	2
Information Systems	Sensors and Instrumentation	2
Information Systems	Software Engineering	12
Information Systems	Statistics and Applied Probability	5
Information Systems	Sustainable Land Management	1
Information Systems	Theory of Computation	7
Information Systems	Transportation Operations and Management	4
Information Systems	Verification and Correctness	7
Information Systems	Water Engineering	1
Light Matter Interaction and Optical Phenomena	Materials Engineering - Ceramics	1
Light Matter Interaction and Optical Phenomena	Materials For Energy Applications	1
Light Matter Interaction and Optical Phenomena	Optical Devices and Subsystems	1
Light Matter Interaction and Optical Phenomena	Optoelectronic Devices and Circuits	1
Light Matter Interaction and Optical Phenomena	Photonic Materials and Metamaterials	4
Light Matter Interaction and Optical Phenomena	Plasma and Lasers	9
Light Matter Interaction and Optical Phenomena	Plasmonics	2
Light Matter Interaction and Optical Phenomena	Polymer Materials	1
Light Matter Interaction and Optical Phenomena	Quantum Devices, Components and Systems	2
Light Matter Interaction and Optical Phenomena	Quantum Fluids and Solids	1
Light Matter Interaction and Optical Phenomena	Quantum Optics and Information	11
Light Matter Interaction and Optical Phenomena	Superconductivity	1
Light Matter Interaction and Optical Phenomena	Surface Science	1
Light Matter Interaction and Optical Phenomena	Synthetic Supramolecular Chemistry	1
Logic and Combinatorics	Mathematical Analysis	11
Logic and Combinatorics	Mathematical Aspects of Operational Research	4
Logic and Combinatorics	Mathematical Physics	10
Logic and Combinatorics	Non-Linear Systems	8
Logic and Combinatorics	Number Theory	12
Logic and Combinatorics	Numerical Analysis	9
Logic and Combinatorics	Quantum Optics and Information	1
Logic and Combinatorics	Statistics and Applied Probability	11
Logic and Combinatorics	Theory of Computation	4
Manufacturing Technologies	Materials Engineering - Ceramics	5
Manufacturing Technologies	Materials Engineering - Composites	16
Manufacturing Technologies	Materials Engineering - Metals & Alloys	29
Manufacturing Technologies	Materials For Energy Applications	4
Manufacturing Technologies	Mathematical Aspects of Operational Research	3
Manufacturing Technologies	Microelectronics Device Technology	1
